Beacon_1,Beacon_2,Beacon_3,Beacon_4,X,Y
-88.0,-70.0,-69.0,-79.0,7.9,2.45
-79.0,-83.0,-72.0,-79.0,7.9,2.45
-92.0,-71.0,-69.0,-78.0,7.9,2.45
-78.0,-70.0,-68.0,-79.0,7.9,2.45
-73.0,-78.0,-76.0,-78.0,7.9,1.25
-73.0,-91.0,-66.0,-81.0,7.9,1.25
-75.0,-84.0,-66.0,-81.0,7.9,1.25
-67.0,-88.0,-73.0,-84.0,7.9,1.25
-70.0,-80.0,-65.0,-83.0,7.9,1.25
-78.0,-73.0,-81.0,-77.0,7.9,1.25
-78.0,-76.0,-80.0,-81.0,7.9,0.05
-81.0,-76.0,-81.0,-74.0,7.9,0.05
-81.0,-68.0,-81.0,-75.0,7.9,0.05
-72.0,-75.0,-79.0,-84.0,7.9,0.05
-64.0,-45.0,-72.0,-70.0,6.15,5.65
-66.0,-40.0,-70.0,-70.0,6.15,5.65
-65.0,-43.0,-70.0,-70.0,6.15,5.65
-66.0,-50.0,-70.0,-69.0,6.15,5.65
-77.0,-70.0,-73.0,-81.0,6.15,6.85
-78.0,-58.0,-72.0,-79.0,6.15,6.85
-77.0,-68.0,-72.0,-72.0,6.15,6.85
-79.0,-68.0,-77.0,-73.0,6.15,6.85
-74.0,-70.0,-79.0,-85.0,5.35,6.85
-76.0,-70.0,-76.0,-75.0,5.35,6.85
-73.0,-70.0,-77.0,-84.0,5.35,6.85
-82.0,-70.0,-80.0,-76.0,5.35,6.85
-78.0,-69.0,-77.0,-74.0,5.35,6.85
-74.0,-63.0,-75.0,-69.0,5.35,5.75
-77.0,-59.0,-80.0,-72.0,5.35,5.75
-69.0,-58.0,-76.0,-63.0,5.35,5.75
-66.0,-59.0,-72.0,-64.0,5.35,5.75
-67.0,-59.0,-72.0,-71.0,5.35,5.75
-68.0,-60.0,-79.0,-73.0,5.55,4.55
-78.0,-75.0,-76.0,-74.0,5.55,4.55
-78.0,-74.0,-77.0,-82.0,5.55,4.55
-69.0,-62.0,-72.0,-74.0,5.55,4.55
-70.0,-61.0,-76.0,-73.0,5.55,4.55
-72.0,-67.0,-75.0,-69.0,5.35,3.35
-73.0,-67.0,-76.0,-68.0,5.35,3.35
-72.0,-76.0,-77.0,-70.0,5.35,3.35
-71.0,-67.0,-87.0,-70.0,5.35,3.35
-71.0,-76.0,-73.0,-69.0,5.35,3.35
-80.0,-72.0,-76.0,-80.0,4.15,5.65
-80.0,-72.0,-76.0,-80.0,4.15,5.65
-80.0,-72.0,-76.0,-80.0,4.15,5.65
-79.0,-67.0,-79.0,-78.0,4.15,5.65
-81.0,-71.0,-78.0,-78.0,4.15,5.65
-76.0,-76.0,-79.0,-75.0,4.15,6.85
-78.0,-75.0,-79.0,-79.0,4.15,6.85
-78.0,-75.0,-76.0,-79.0,4.15,6.85
-77.0,-75.0,-76.0,-76.0,4.15,6.85
-78.0,-75.0,-78.0,-80.0,4.15,6.85
-80.0,-70.0,-75.0,-72.0,4.15,4.45
-80.0,-67.0,-82.0,-76.0,4.15,4.45
-83.0,-66.0,-74.0,-82.0,4.15,4.45
-84.0,-72.0,-76.0,-82.0,4.15,4.45
-79.0,-75.0,-78.0,-75.0,4.15,4.45
-82.0,-73.0,-80.0,-75.0,4.15,3.25
-76.0,-72.0,-78.0,-70.0,4.15,3.25
-74.0,-73.0,-84.0,-72.0,4.15,3.25
-78.0,-75.0,-78.0,-72.0,4.15,3.25
-74.0,-73.0,-77.0,-72.0,4.15,3.25
-77.0,-78.0,-74.0,-68.0,5.15,2.25
-73.0,-77.0,-74.0,-69.0,5.15,2.25
-78.0,-75.0,-75.0,-76.0,5.15,2.25
-72.0,-81.0,-79.0,-71.0,5.15,2.25
-74.0,-78.0,-73.0,-66.0,5.15,1.25
-80.0,-79.0,-74.0,-75.0,5.15,1.25
-80.0,-71.0,-74.0,-75.0,5.15,1.25
-74.0,-67.0,-74.0,-66.0,5.15,1.25
-74.0,-70.0,-78.0,-72.0,5.15,1.25
-70.0,-69.0,-81.0,-74.0,5.15,0.25
-71.0,-79.0,-76.0,-70.0,5.15,0.25
-70.0,-73.0,-76.0,-71.0,5.15,0.25
-79.0,-73.0,-75.0,-70.0,5.15,0.25
-80.0,-80.0,-76.0,-72.0,5.15,0.25
-77.0,-80.0,-76.0,-42.0,2.0,1.6
-77.0,-72.0,-76.0,-41.0,2.0,1.6
-79.0,-79.0,-74.0,-40.0,2.0,1.6
-88.0,-79.0,-75.0,-40.0,2.0,1.6
-78.0,-78.0,-78.0,-59.0,2.8,1.6
-80.0,-77.0,-73.0,-68.0,2.8,1.6
-88.0,-72.0,-77.0,-66.0,2.8,1.6
-78.0,-79.0,-76.0,-64.0,2.8,1.6
-80.0,-79.0,-78.0,-66.0,2.8,1.6
-79.0,-77.0,-78.0,-57.0,1.2,1.6
-76.0,-79.0,-91.0,-52.0,1.2,1.6
