Beacon_1,Beacon_2,Beacon_3,Beacon_4,Area
-73,-66,-75,-67,C
-73,-66,-74,-67,C
-73,-58,-70,-77,C
-71,-66,-75,-83,C
-71,-65,-75,-67,C
-77,-70,-83,-75,C
-76,-63,-81,-75,C
-74,-64,-79,-67,C
-74,-70,-79,-83,C
-74,-70,-80,-78,C
-75,-61,-80,-73,C
-71,-61,-69,-71,C
-69,-58,-72,-79,C
-76,-60,-76,-78,C
-68,-60,-79,-78,C
-71,-61,-75,-69,C
-78,-61,-74,-69,C
-70,-66,-83,-74,C
-70,-73,-79,-74,C
-79,-73,-79,-74,C
-77,-60,-90,-83,C
-70,-72,-90,-79,C
-81,-67,-90,-76,C
-78,-61,-72,-74,C
-82,-48,-72,-76,C
-82,-47,-72,-82,C
-69,-32,-72,-76,C
-69,-36,-72,-76,C
-78,-59,-72,-78,C
-78,-59,-74,-76,C
-67,-66,-90,-72,C
-78,-69,-76,-74,C
-79,-64,-76,-80,C
-76,-64,-81,-70,C
-72,-67,-78,-77,C
-72,-72,-68,-77,C
-73,-73,-76,-77,C
-75,-60,-74,-73,C
-70,-64,-78,-77,C
-70,-64,-78,-77,C
-70,-70,-77,-77,C
-76,-64,-80,-73,C
-70,-64,-79,-83,C
-74,-64,-74,-81,C
-76,-64,-74,-81,C
-72,-68,-73,-77,C
-72,-68,-73,-80,C
-68,-66,-80,-76,C
-73,-60,-77,-88,C
-76,-64,-68,-88,C
-76,-64,-68,-80,C
-76,-64,-79,-90,C
-76,-59,-79,-82,C
-76,-64,-86,-88,C
-76,-63,-74,-77,C
-77,-72,-82,-77,C
-71,-65,-76,-78,C
-79,-65,-68,-75,C
-80,-71,-79,-75,C
-74,-76,-67,-75,C
-74,-67,-71,-78,C
-79,-75,-76,-80,
-76,-62,-71,-91,C
-75,-72,-62,-73,B
-70,-77,-71,-81,B
-77,-77,-61,-92,B
-78,-76,-61,-92,B
-76,-77,-61,-92,B
-77,-77,-64,-92,B
-75,-77,-64,-73,B
-74,-78,-64,-81,B
-81,-78,-64,-81,B
-68,-78,-64,-81,B
-59,-77,-79,-78,D
-63,-79,-80,-82,D
-70,-80,-79,-76,D
-64,-79,-77,-82,D
-64,-79,-82,-80,D
-73,-76,-82,-80,D
-61,-80,-81,-82,D
-63,-80,-74,-82,D
-73,-80,-74,-82,D
-62,-73,-74,-81,D
-62,-76,-77,-76,D
-72,-79,-77,-86,D
-66,-79,-77,-86,D
-69,-79,-76,-86,D
-69,-79,-76,-86,D
-86,-77,-76,-79,D
-66,-77,-79,-79,D
-55,-75,-76,-82,D
-57,-74,-73,-91,D
-40,-90,-73,-77,D
-38,-72,-79,-77,D
-38,-74,-83,-77,D
-50,-76,-83,-88,D
-64,-81,-78,-88,D
-62,-89,-78,-86,D
-62,-79,-78,-82,D
-72,-75,-92,-79,D
-64,-75,-80,-81,D
-65,-75,-82,-75,D
-65,-81,-82,-86,D
-63,-80,-72,-77,D
-61,-75,-71,-79,D
-66,-75,-72,-81,D
-73,-72,-71,-77,D
-58,-72,-77,-76,D
-54,-75,-77,-76,D
-59,-73,-79,-76,D
-59,-73,-80,-76,D
-62,-77,-79,-80,D
-67,-82,-77,-79,D
-77,-87,-75,-81,D
-77,-87,-75,-81,D
-77,-87,-78,-81,D
-59,-76,-78,-81,D
-59,-76,-78,-81,D
-59,-76,-78,-72,D
-59,-76,-78,-72,D
-76,-77,-78,-79,D
-76,-72,-78,-79,D
-76,-79,-82,-79,D
-67,-82,-78,-78,D
-61,-85,-68,-76,D
-61,-85,-76,-80,D
-72,-73,-73,-77,D
-72,-80,-81,-93,D
-61,-79,-81,-80,D
-61,-79,-79,-78,D
-61,-77,-83,-87,D
-82,-70,-78,-72,D
-70,-70,-77,-73,D
-74,-79,-79,-89,D
-58,-79,-79,-89,D
-76,-79,-78,-78,D
-76,-79,-78,-77,D
-69,-79,-78,-77,D
-70,-80,-79,-78,D
-60,-71,-77,-79,D
-65,-71,-78,-79,D
-66,-71,-69,-78,D
-73,-76,-78,-78,D
-47,-72,-77,-80,D
-47,-70,-76,-80,D
-47,-70,-76,-79,D
-47,-70,-80,-79,D
-62,-82,-75,-79,D
-62,-82,-75,-82,D
-62,-77,-72,-76,D
-62,-77,-72,-76,D
-57,-78,-76,-76,D
-72,-80,-72,-81,D
-75,-70,-65,-88,D
-75,-76,-65,-77,D
-65,-84,-72,-81,D
-65,-91,-72,-82,D
-66,-80,-75,-83,D
-60,-75,-75,-81,D
-60,-73,-75,-85,D
-69,-73,-72,-84,D
-73,-66,-72,-78,D
-68,-66,-79,-84,D
-73,-76,-75,-86,D
-75,-75,-82,-78,D
-73,-75,-74,-78,D
-72,-67,-74,-78,D
-80,-77,-78,-83,D
-80,-83,-76,-84,D
-68,-83,-81,-81,D
-60,-81,-79,-77,D
-60,-81,-78,-78,D
-73,-76,-76,-78,E
-76,-76,-77,-75,E
-77,-76,-77,-76,E
-66,-76,-66,-76,E
-77,-76,-68,-81,E
-78,-74,-72,-79,E
-78,-75,-74,-74,E
-78,-75,-64,-74,E
-78,-76,-74,-78,E
-70,-78,-79,-77,E
-72,-62,-69,-77,E
-69,-62,-69,-74,E
-69,-66,-69,-74,E
-72,-67,-72,-74,E
-79,-79,-78,-79,E
-72,-75,-80,-76,E
-76,-65,-75,-78,E
-77,-62,-74,-70,E
-81,-62,-76,-66,E
-81,-73,-77,-70,E
-81,-73,-74,-70,E
-81,-73,-79,-74,E
-76,-65,-76,-73,E
-75,-65,-76,-73,E
