Beacon_1,Beacon_2,Beacon_3,Beacon_4,X,Y
-69,-62,-72,-74,5.55,4.55
-70,-61,-76,-73,5.55,4.55
-72,-67,-75,-69,5.35,3.35
-73,-67,-76,-68,5.35,3.35
-72,-76,-77,-70,5.35,3.35
-71,-67,-87,-70,5.35,3.35
-71,-76,-73,-69,5.35,3.35
-80,-72,-76,-80,4.15,5.65
-80,-72,-76,-80,4.15,5.65
-80,-72,-76,-80,4.15,5.65
-79,-67,-79,-78,4.15,5.65
-81,-71,-78,-78,4.15,5.65
-76,-76,-79,-75,4.15,6.85
-78,-75,-79,-79,4.15,6.85
-78,-75,-76,-79,4.15,6.85
-77,-75,-76,-76,4.15,6.85
-78,-75,-78,-80,4.15,6.85
-80,-70,-75,-72,4.15,4.45
-80,-67,-82,-76,4.15,4.45
-83,-66,-74,-82,4.15,4.45
-84,-72,-76,-82,4.15,4.45
-79,-75,-78,-75,4.15,4.45
-82,-73,-80,-75,4.15,3.25
-76,-72,-78,-70,4.15,3.25
-74,-73,-84,-72,4.15,3.25
-78,-75,-78,-72,4.15,3.25
-74,-73,-77,-72,4.15,3.25
-77,-78,-74,-68,5.15,2.25
-73,-77,-74,-69,5.15,2.25
-78,-75,-75,-76,5.15,2.25
-70,-93,-79,-83,5.15,2.25
-72,-81,-79,-71,5.15,2.25
-74,-78,-73,-66,5.15,1.25
-80,-79,-74,-75,5.15,1.25
-80,-71,-74,-75,5.15,1.25
-74,-67,-74,-66,5.15,1.25
-74,-70,-78,-72,5.15,1.25
-70,-69,-81,-74,5.15,0.25
-71,-79,-76,-70,5.15,0.25
-70,-73,-76,-71,5.15,0.25
-79,-73,-75,-70,5.15,0.25
-80,-80,-76,-72,5.15,0.25
-77,-80,-76,-42,2.00,1.60
-77,-72,-76,-41,2.00,1.60
-93,-71,-84,-40,2.00,1.60
-79,-79,-74,-40,2.00,1.60
-88,-79,-75,-40,2.00,1.60
-78,-78,-78,-59,2.80,1.60
-80,-77,-73,-68,2.80,1.60
-88,-72,-77,-66,2.80,1.60
-78,-79,-76,-64,2.80,1.60
-80,-79,-78,-66,2.80,1.60
-79,-77,-78,-57,1.20,1.60
-76,-79,-91,-52,1.20,1.60
-80,-80,-88,-58,1.20,1.60
-76,-76,-81,-52,1.20,1.60
-78,-77,-79,-62,1.20,1.60
-82,-72,-79,-54,2.00,3.20
-85,-72,-79,-53,2.00,3.20
-84,-72,-80,-57,2.00,3.20
-76,-70,-76,-54,2.00,3.20
-82,-72,-79,-54,2.00,3.20
-77,-72,-86,-63,2.00,3.20
-84,-72,-72,-73,3.00,3.20
-76,-69,-71,-79,3.00,3.20
-82,-66,-87,-78,3.00,3.20
-77,-66,-71,-66,3.00,3.20
-76,-70,-76,-83,3.00,3.20
-78,-69,-85,-77,3.00,3.20
-89,-76,-76,-75,1.00,3.20
-78,-76,-72,-72,1.00,3.20
-78,-80,-76,-86,1.00,3.20
-77,-65,-79,-70,1.00,3.20
-76,-68,-81,-79,1.00,3.20
-77,-78,-81,-65,1.00,0.00
-75,-73,-81,-66,1.00,0.00
-76,-73,-73,-58,1.00,0.00
-76,-69,-73,-65,1.00,0.00
-75,-79,-83,-66,1.00,0.00
-77,-69,-72,-57,1.00,0.00
-78,-77,-77,-77,3.00,0.00
-79,-80,-77,-67,3.00,0.00
-78,-75,-82,-78,3.00,0.00
-80,-78,-80,-67,3.00,0.00
-79,-81,-78,-62,3.00,0.00
-83,-79,-66,-77,11.80,1.25
-78,-74,-63,-84,11.80,1.25
-72,-75,-56,-76,11.80,1.25
-70,-80,-58,-78,11.80,1.25
-72,-73,-58,-76,11.80,1.25
-76,-82,-61,-79,12.10,0.05
-75,-79,-66,-77,12.10,0.05
-77,-79,-70,-81,12.10,0.05
-77,-77,-67,-82,12.10,0.05
-77,-80,-67,-82,12.10,0.05
-77,-76,-72,-78,12.10,2.45
-71,-85,-66,-83,12.10,2.45
-75,-77,-75,-80,12.10,2.45
-75,-77,-66,-82,12.10,2.45
-75,-77,-66,-84,12.10,2.45
-77,-56,-71,-83,7.15,5.65
-82,-68,-77,-71,7.15,5.65
-82,-68,-77,-79,7.15,5.65
